del;area;pop_t;pop_urb;mig_out;mig_in
TS222C;909;21909;5003;729;364
TS2230;441;65761;35913;8788;3486
TS2231;780;48371;4002;2189;1079
TS2232;541;36861;5405;1574;680
TS2233;293;18618;2506;557;318
TS2234;446;33979;5589;1144;781
TS2235;756;24896;7403;812;372
TS2236;521;23668;5595;1100;289
TS2237;578;22617;13742;1600;765
TS2238;322;19210;0;780;213
TS2239;980;22839;6101;994;444
TS223A;944;58776;7892;2730;1296
TS223B;392;19910;2145;2017;504
TS3110;19;47057;47057;11031;4586
TS3111;200;61699;57148;2401;2296
TS3112;157;28389;26270;1369;10096
TS3113;22;22681;22681;509;546
TS3114;308;25862;19004;1111;1138
TS3115;1048;11477;0;1275;385
TS3116;2592;62390;34835;2949;1715
TS3117;1169;5766;2116;2440;298
TS3118;773;15969;6642;825;1085
TS3119;887;61340;16128;2482;1880
TS3120;347;48102;40332;5580;4691
TS3121;658;48087;21373;2610;2193
TS3122;1204;28586;3071;2581;836
TS3123;4591;70907;58101;3027;2988
TS3124;692;73549;70895;2826;3736
TS3125;200;64919;64919;4003;5407
TS3126;177;50459;50459;1831;5700
TS3127;136;24166;24166;875;862
TS3128;583;23728;0;983;599
TS3130;2700;54362;37122;4944;3444
TS3131;2036;33783;22224;1953;1861
TS3132;1903;13826;0;613;546
TS3133;194;9270;8418;513;814
TS3134;758;18335;11383;1569;917
TS3135;3009;3971;3971;425;296
TS3136;28289;9977;4606;911;595
TS3210;798;9407;0;8061;622
TS3211;467;8297;0;758;440
TS3212;23;39991;39991;958;1822
TS3213;744;90742;84676;1412;6553
TS3214;1050;31733;24487;2179;617
TS3215;482;27940;26143;1924;703
TS3216;1413;38938;37099;2236;1335
TS3217;699;14841;12383;1138;321
TS3218;1140;19942;13554;1022;819
TS3219;1134;15159;0;855;333
TS321A;848;34524;8931;1515;710
TS3220;612;39862;32400;2949;2040
TS3221;1097;26596;13685;905;1055
TS3222;643;6362;2169;223;318
TS3223;1309;20544;20308;1107;1036
TS3224;1058;4162;0;177;326
TS3230;993;28040;12780;3829;1355
TS3231;827;29429;12041;1071;1951
TS3232;2746;26732;18285;835;493
TS3233;4106;25534;25237;1376;1142
TS3234;4106;17187;8860;569;709
TS3235;9584;16296;0;329;643
